date,tournament,team1,team2,picks1,picks2,bans1,bans2,winner
2025-03-08,GCS 2025 Spring GS,FW,ANK,"Riktor,Keera,Mganga,Hayate,Maloch","Biron,Aoi,Sephera,Capheny,Dolia","Valhein,Eland'orr,Alice,Omen","Bolt Baron,TeeMee,Raz,Qi",FW
2025-03-08,GCS 2025 Spring GS,FW,ANK,"Marja,Fennik,Tulen,Stuart,Y'bneth","Ryoma,Billow,Raz,Violet,Ming","Valhein,Maloch,Roxie,Qi","Bolt Baron,TeeMee,Omen,Charlotte",ANK
2025-03-08,GCS 2025 Spring GS,FW,ANK,"Yena,Aoi,Natalya,Capheny,Enzo","Marja,Fennik,Rouie,Murad,Omega","Valhein,Billow,Omen,Eland'orr","Bolt Baron,TeeMee,Qi,Maloch",ANK
2025-03-08,GCS 2025 Spring GS,FW,ANK,"Biron,Nakroth,Ignis,Valhein,Toro","Bolt Baron,Enzo,Yue,Stuart,Thane","TeeMee,Billow,Raz,Natalya","Maloch,Marja,Qi,Murad",FW
2025-03-08,AOG Spring 2025 GS1,SGP,FPL,"Skud,Wonder Woman,Raz,Fennik,Rouie","Yena,Billow,Ignis,Violet,Arduin","TeeMee,Maloch,Florentino,Ming","Valhein,Bolt Baron,Toro,Roxie",SGP
2025-03-08,AOG Spring 2025 GS1,SGP,FPL,"Yena,Billow,Tulen,Violet,TeeMee","Riktor,Keera,Raz,Stuart,Enzo","Maloch,Rouie,Aoi,Skud","Valhein,Bolt Baron,Hayate,Qi",SGP
2025-03-08,AOG Spring 2025 GS1,SGP,FPL,"Maloch,Marja,Liliana,Capheny,Ming","Ryoma,Bolt Baron,Natalya,Hayate,Roxie","Valhein,Rouie,Murad,Qi","TeeMee,Raz,Alice,Dolia",SGP
2025-03-08,RPL 2025 Summer - GS,BAC,KOG,"Florentino,Eland'orr,Natalya,Murad,Zip","Marja,Ryoma,Rouie,Stuart,Enzo","Maloch,Bolt Baron,Raz,Krixi","Valhein,TeeMee,Liliana,Iggy",BAC
2025-03-08,RPL 2025 Summer - GS,BAC,KOG,"Skud,Marja,Ignis,Hayate,Rouie","Qi,Keera,Yue,Valhein,Grakk","Bolt Baron,Maloch,Raz,Natalya","Stuart,Billow,Omen,TeeMee",BAC
2025-03-08,RPL 2025 Summer - GS,BAC,KOG,"Maloch,Fennik,Raz,Bolt Baron,Ming","Murad,Billow,Liliana,Hayate,TeeMee","Eland'orr,Valhein,Florentino,Roxie","Marja,Enzo,Stuart,Capheny",BAC
2025-03-08,AOG Spring 2025 GS1,1S,SPN,"Yena,Eland'orr,Iggy,Stuart,Wiro Sableng","Biron,Keera,Natalya,Marja,Grakk","Valhein,Rouie,Laville,Qi","Billow,Bolt Baron,Arduin,Dolia",1S
2025-03-08,AOG Spring 2025 GS1,1S,SPN,"Marja,Aoi,Liliana,Hayate,Y'bneth","Ryoma,Billow,Iggy,Elsu,Thane","Rouie,Valhein,Qi,Omen","Stuart,Eland'orr,Enzo,Murad",1S
2025-03-08,AOG Spring 2025 GS1,1S,SPN,"Qi,Nakroth,Raz,Valhein,Zip","Airi,Enzo,Maloch,Fennik,Dolia","Rouie,TeeMee,Keera,Florentino","Billow,Marja,Murad,Eland'orr",SPN
2025-03-08,AOG Spring 2025 GS1,1S,SPN,"Maloch,Yan,Violet,Rouie,TeeMee","Skud,Bolt Baron,Raz,Stuart,Y'bneth","Marja,Valhein,Hayate,Florentino","Eland'orr,Billow,Keera,Omen",1S
2025-03-08,GCS 2025 Spring GS,ONE,DCG,"Yena,Billow,Liliana,Elsu,TeeMee","Lu Bu,Aoi,Alice,Stuart,Baldum","Rouie,Maloch,Omen,Qi","Bolt Baron,Marja,Florentino,Skud",DCG
2025-03-08,GCS 2025 Spring GS,ONE,DCG,"Riktor,Fennik,Rouie,Hayate,Wiro Sableng","Murad,Eland'orr,Ignis,Marja,TeeMee","Maloch,Stuart,Qi,Capheny","Bolt Baron,Valhein,Omen,Mina",DCG
2025-03-08,GCS 2025 Spring GS,ONE,DCG,"Qi,Keera,Raz,Capheny,Thane","Airi,Billow,Iggy,Fennik,Toro","Maloch,TeeMee,Omen,Florentino","Bolt Baron,Rouie,Roxie,Baldum",ONE
2025-03-08,GCS 2025 Spring GS,ONE,DCG,"Biron,Aoi,Ignis,Stuart,Enzo","Riktor,Keera,Raz,Valhein,Arduin","Rouie,Bolt Baron,Qi,Roxie","Maloch,TeeMee,Omen,Florentino",DCG
